mtime,Number of Trades,Number of Cancel,Percent of Trades,Total Share Vol,Number of Cancel Share,Total Share Pct,Total Dollar Val,Value of Cancel,Total Dollar Pct
2012-01-03 09:30:00,48858,1987,0.04066887715420197,4082273,222453,0.05449243595418533,1604971109.961001,91301366.45000005,0.056886610533580614
2012-01-03 09:45:00,23948,1198,0.05002505428428261,1640037,110619,0.06744908803886741,653640362.5950025,45483634.700000025,0.0695851071978274
2012-01-03 10:00:00,27619,1538,0.05568630290741881,1567020,95376,0.060864570969100584,645256460.7999972,39270663.529999934,0.06086055067362156
2012-01-03 10:15:00,20711,1275,0.06156148906378253,1259186,78643,0.06245542755399123,518957973.5549991,32414595.880000036,0.062460926571667255
2012-01-03 10:30:00,18945,1112,0.05869622591712853,1150145,67274,0.0584917553873642,473678215.8149952,27706358.079999987,0.05849194063596388
2012-01-03 10:45:00,23121,1385,0.059902253362743824,1552549,72206,0.04650803291876778,637681485.1100043,29659737.480000023,0.04651183729269405
2012-01-03 11:00:00,17973,992,0.0551939019640572,1014334,43694,0.04307654086326595,416795130.2150027,17955902.210000005,0.043080882928592516
2012-01-03 11:15:00,21788,1491,0.068432164494217,962204,68152,0.07082905496131797,395631196.1399997,28023306.689999975,0.07083189334767102
2012-01-03 11:30:00,26577,2646,0.09955976972570267,1147458,74506,0.0649313526072414,471652839.88000125,30623162.800000258,0.06492733682636462
2012-01-03 11:45:00,24249,2405,0.09917934760196297,911656,49239,0.05401050396202076,374544016.4500076,20229926.460000068,0.054012146961371264
2012-01-03 12:00:00,16756,1178,0.07030317498209597,865774,31809,0.03674053505880288,355687538.10999966,13067292.239999996,0.03673812219971231
2012-01-03 12:15:00,16628,1100,0.06615347606446957,770919,37714,0.04892083344683423,316596321.1499994,15487946.459999986,0.048920171920323705
2012-01-03 12:30:00,23604,1561,0.06613285883748517,1355032,47892,0.035343814758618246,556097995.4499911,19653832.740000024,0.03534239091096932
2012-01-03 12:45:00,23843,1811,0.07595520697898754,1483428,51858,0.03495821839684838,608176705.3749967,21260512.850000016,0.0349577888500201
2012-01-03 13:00:00,17333,1011,0.058328044770091736,1118290,44458,0.039755340743456526,458070131.495003,18211593.539999995,0.03975721682739461
2012-01-03 13:15:00,14621,787,0.05382668764106422,911822,45769,0.05019510386895688,373868108.1599977,18766144.910000008,0.050194559258766716
2012-01-03 13:30:00,15370,902,0.0586857514638907,904562,53953,0.0596454416612681,370539912.94000083,22099796.819999985,0.059642149329209956
2012-01-03 13:45:00,13886,1040,0.0748955782802823,864090,78191,0.09048941661169554,354783916.92000157,32107131.400000043,0.09049770823529106
2012-01-03 14:00:00,14986,1410,0.09408781529427465,1015108,65985,0.0650029356482266,417142392.62000364,27117471.970000017,0.06500771067567498
2012-01-03 14:15:00,16829,902,0.05359795590944203,877747,34068,0.0388130064813665,360580552.8199991,13994297.130000018,0.038810460022190754
2012-01-03 14:30:00,19149,1400,0.07311086740821975,1613681,82592,0.05118235884291877,663286189.7700006,33973173.12999999,0.05121947909360278
2012-01-03 14:45:00,9146,1026,0.11218018806035425,769158,51505,0.06696283468416112,316481503.26000017,21194081.42000002,0.06696783603997347
2012-01-03 15:00:00,14356,1183,0.08240456951797158,1015315,57487,0.056619866740863674,418036833.89000076,23669330.640000023,0.05662020358289337
2012-01-03 15:15:00,19669,1235,0.06278916060806344,2038314,72036,0.035340972980610445,838987450.4100044,29652713.299999986,0.0353434527364015
2012-01-03 15:30:00,18780,1101,0.05862619808306709,2215173,71027,0.03206386137786981,910960347.3249859,29231099.769999985,0.03208822409870686
2012-01-03 15:45:00,38203,1916,0.05015312933539251,5285388,170029,0.03216963447149008,2152630391.289982,69942640.88999984,0.03249170929343152
2012-01-03 16:00:00,64,6,0.09375,35511,6924,0.19498183661400692,14748235.37,2845806.95,0.1929591492544779
